,Date,post_cum_y,preds,post_preds,post_preds_lower,post_preds_upper,preds_lower,preds_upper,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
146,2012-04-08,,93.5394420538058,,,,55.439176792711265,131.63970731490036,,,,9.318528946194206,-28.781736314900357,47.41879420728874,,,
147,2012-04-15,,99.02547500198719,,,,60.928522854634636,137.12242714933973,,,,0.19189399801281581,-37.90505814933972,38.28884614536537,,,
148,2012-04-22,,107.28075001299672,,,,69.18712510087157,145.37437492512186,,,,7.236499987003285,-30.857124925121852,45.330124899128435,,,
149,2012-04-29,,106.72401412606202,,,,68.63308210462739,144.81494614749664,,,,9.144202873937985,-28.94672914749664,47.23513489537261,,,
150,2012-05-06,,106.90720079553856,,,,68.8189761479528,144.9954254431243,,,,7.565020204461447,-30.5232044431243,45.65324485204721,,,
151,2012-05-13,,103.70879350606575,,,,65.62273857744836,141.79484843468316,,,,2.8827664939342554,-35.20328843468316,40.96882142255164,,,
152,2012-05-20,,104.48825252170036,,,,66.40437896685461,142.5721260765461,,,,4.940336478299642,-33.14353707654611,43.024210033145394,,,
153,2012-05-27,,105.44056550833479,,,,67.35842129046905,143.52270972620053,,,,0.43047449166520835,-37.65166972620054,38.51261870953094,,,
154,2012-06-03,,107.17895847388166,,,,69.09855139902298,145.25936554874036,,,,-1.3079184738816707,-39.38832554874037,36.77248860097701,,,
155,2012-06-10,,107.82934452337479,,,,69.75029693618822,145.90839211056135,,,,-2.6337875233747923,-40.71283511056136,35.44526006381177,,,
156,2012-06-17,,111.304740124712,,,,73.22705547207372,149.38242477735028,,,,-7.144927124711998,-45.22261177735028,30.932757527926285,,,
157,2012-06-24,,115.3537781438558,,,,77.27714325322093,153.43041303449067,,,,-8.311893143855812,-46.388528034490676,29.764741746779066,,,
158,2012-07-01,,119.859590588818,,,,81.78400615647223,157.93517502116376,,,,-6.963502588817988,-45.03908702116375,31.112081843527776,,,
159,2012-07-08,,122.8654062618075,,,,84.79061618266226,160.9401963409527,,,,-3.6197622618074945,-41.6945523409527,34.45502781733774,,,
160,2012-07-15,,121.93993723229389,,,,83.8659375625747,160.01393690201306,,,,-3.459834232293886,-41.53383390201306,34.6141654374253,,,
161,2012-07-22,,114.44968503704685,,,,76.37626907575344,152.52310099834025,,,,-1.9138570370468528,-39.98727299834026,36.159558924246554,,,
162,2012-07-29,,97.46072281925147,,,,59.38788521308298,135.53356042541998,,,,20.839257180748533,-17.233580425419973,58.912094786917024,,,
163,2012-08-05,,100.17182339017924,,,,62.099399655261024,138.24424712509747,,,,21.055265609820765,-17.017158125097467,59.12768934473898,,,
164,2012-08-12,,87.19265432423185,,,,49.12063628817225,125.26467236029146,,,,34.30460667576814,-3.7674113602914616,72.37662471182774,,,
165,2012-08-19,,90.96911637298311,,,,52.89737806410959,129.04085468185664,,,,26.565299627016884,-11.50643868185665,64.6370379358904,,,
166,2012-08-26,,93.77988315377826,,,,55.70841470189876,131.85135160565778,,,,22.85389784622174,-15.217570605657784,60.92536629810124,,,
167,2012-09-02,,88.26054451586631,,,,50.18925151099518,126.33183752073744,,,,27.562644484133685,-10.508648520737438,65.63393748900482,,,
168,2012-09-09,,96.18219664016013,,,,58.11107016003774,134.25332312028252,,,,28.242165359839873,-9.828961120282514,66.31329183996226,,,
169,2012-09-16,,86.63040258958304,,,,48.559374979758985,124.7014301994071,,,,36.533064410416955,-1.537963199407102,74.60409202024101,,,
170,2012-09-23,,87.41114416877075,,,,49.34020600861433,125.48208232892716,,,,29.853084831229253,-8.217853328927163,67.92402299138567,,,
171,2012-09-30,,89.22935601881974,,,,51.15846365574231,127.30024838189716,,,,32.357977981180255,-5.712914381897164,70.42887034425769,,,
172,2012-10-07,,96.50740133873325,,,,58.43654765009329,134.5782550273732,,,,23.32367666126676,-14.747177027373183,61.39453034990672,,,
173,2012-10-14,,96.94917535435077,,,,58.87833580438436,135.02001490431718,,,,28.015584645649227,-10.05525490431718,66.08642419561563,,,
174,2012-10-21,,109.29314024127895,,,,71.2223105058864,147.36396997667148,,,,20.85033775872104,-17.220491976671497,58.92116749411359,,,
175,2012-10-28,,109.19473599471839,,,,71.12390691999532,147.26556506944146,,,,29.144619005281626,-8.926210069441453,67.21544808000469,,,
176,2012-11-04,,110.78971980562704,,,,72.71889076892099,148.8605488423331,,,,19.353758194372944,-18.7170708423331,57.424587231079,,,
177,2012-11-11,,104.51493223600936,,,,66.44410641203599,142.5857580599827,,,,21.530599763990637,-16.540226059982714,59.601425587964,,,
178,2012-11-18,,96.72962245936552,,,,58.65880488436896,134.80044003436208,,,,39.132956540634495,1.0621389656379279,77.20377411563105,,,
179,2012-11-25,,108.31736905510652,,,,70.24657253316559,146.3881655770475,,,,32.543806944893475,-5.5269895770474875,70.61460346683441,,,
180,2012-12-02,,105.99911954766142,,,,67.92835457432233,144.06988452100052,,,,35.31238845233858,-2.758376521000514,73.38315342567768,,,
181,2012-12-09,,100.2480088302192,,,,62.17729508231818,138.31872257812023,,,,43.85549116978079,5.784777421879767,81.92620491768182,,,
182,2012-12-16,,102.8150614577255,,,,64.74441641918916,140.88570649626183,,,,43.76523054227448,5.694585503738153,81.83587558081082,,,
183,2012-12-23,,101.59212527330615,,,,63.5215737791667,139.66267676744562,,,,44.988166726693834,6.917615232554368,83.05871822083328,,,
184,2012-12-30,,111.32608190882274,,,,77.92156406370674,144.73059975393872,,,,39.57731509117727,6.172797246061293,72.98183293629327,,,
185,2013-01-06,,114.83127457591533,,,,81.43324785208745,148.2293012997432,,,,33.415200424084674,0.01717370025679088,66.81322714791256,,,
186,2013-01-13,,116.86256008153705,,,,83.47126391043247,150.25385625264164,,,,33.095157918462945,-0.29613825264164007,66.48645408956753,,,
187,2013-01-20,,118.38125750698183,,,,84.99539044178991,151.76712457217374,,,,37.20548849301818,3.819621427826263,70.5913555582101,,,
188,2013-01-27,,120.35125068150674,,,,86.97105248247162,153.73144888054185,,,,36.36131931849326,2.9811211194581517,69.74151751752838,,,
189,2013-02-03,,123.15932662452389,,,,89.78366664972121,156.53498659932654,,,,29.230123375476126,-4.145536599326533,62.6057833502788,,,
190,2013-02-10,,123.684473467927,,,,90.3135849148427,157.05536202101132,,,,27.038793532072987,-6.332095021011327,60.409682085157286,,,
191,2013-02-17,,121.1530076437902,,,,87.78590692634425,154.52010836123617,,,,20.068443356209798,-13.298657361236167,53.43554407365575,,,
192,2013-02-24,,121.9272978377619,,,,88.56420700535506,155.2903886701687,,,,17.357736162238098,-16.005354670168714,50.72082699464494,,,
193,2013-03-03,,121.27890210872673,,,,87.91896536721553,154.6388388502379,,,,22.82459789127327,-10.535338850237906,56.18453463278446,,,
194,2013-03-10,,120.38771014682898,,,,87.03113521280449,153.74428508085347,,,,16.105331853171023,-17.25124308085347,49.46190678719552,,,
195,2013-03-17,,119.15747266199836,,,,85.80351560542664,152.51142971857007,,,,14.948850338001648,-18.405106718570067,48.302807394573364,,,
196,2013-03-24,,119.34537437602994,,,,85.99422653837988,152.69652221368,,,,12.824577623970058,-20.526570213680003,46.17572546162012,,,
197,2013-03-31,,117.21320174281226,,,,83.86421714310666,150.56218634251786,,,,13.830926257187741,-19.51805834251786,47.17991085689334,,,
198,2013-04-07,,116.2934090541123,,,,82.94676236764462,149.64005574057998,,,,10.157396945887697,-23.18924974057998,43.504043632355376,,,
199,2013-04-14,,117.0388125199351,,,,83.69394384218828,150.38368119768194,,,,5.674329480064898,-27.670539197681933,39.01919815781173,,,
200,2013-04-21,,128.82676628092614,,,,95.4838332516844,162.16969931016786,,,,-0.7547752809261397,-34.09770831016786,32.588157748315595,,,
201,2013-04-28,,128.9466777033664,,,,95.60519627777919,162.28815912895357,,,,10.598671296633597,-22.74281012895358,43.9401527222208,,,
202,2013-05-05,,128.25393341845307,,,,94.91404460075526,161.59382223615086,,,,10.507190581546922,-22.83269823615086,43.847079399244734,,,
203,2013-05-12,,122.63113437619842,,,,89.29242132801066,155.96984742438616,,,,25.40226662380158,-7.936446424386162,58.74097967198934,,,
204,2013-05-19,,124.80457828457246,,,,91.46716551794628,158.14199105119863,,,,26.50410671542754,-6.833306051198633,59.84151948205371,,,
205,2013-05-26,,123.83671422657338,,,,90.5002447340391,157.17318371910764,,,,28.44070577342663,-4.895763719107634,61.777175265960906,,,
206,2013-06-02,,125.10234714984699,,,,91.76692969772529,158.4377646019687,,,,24.499489850152997,-8.835927601968706,57.8349073022747,,,
207,2013-06-09,,125.46759258924645,,,,92.13292306797936,158.80226211051354,,,,17.583692410753557,-15.750977110513531,50.918361932020645,,,
208,2013-06-16,,126.80380845620728,,,,93.46998073899329,160.1376361734213,,,,7.067453543792723,-26.266374173421298,40.401281261006716,,,
209,2013-06-23,,130.27605903268426,,,,96.94281573625327,163.60930232911525,,,,7.8853639673157545,-25.44787932911524,41.21860726374675,,,
210,2013-06-30,,135.45415040438218,,,,102.12157192383764,168.7867288849267,,,,4.045071595617827,-29.2875068849267,37.37765007616237,,,
211,2013-07-07,,140.1194272163966,,,,106.78729773735935,173.45155669543385,,,,8.236895783603416,-25.095233695433848,41.56902526264065,,,
212,2013-07-14,,139.2087202833579,,,,105.87710718397227,172.54033338274354,,,,12.28447471664208,-21.047138382743555,45.616087816027715,,,
213,2013-07-21,,132.61158598888804,,,,99.2803101199915,165.94286185778458,,,,19.89650101111195,-13.43477485778459,53.22777688000849,,,
214,2013-07-28,,127.48069992007171,,,,94.14981743741012,160.81158240273328,,,,33.42318507992829,0.0923025972667233,66.75406756258988,,,
215,2013-08-04,,130.66607852335278,,,,97.33544244694237,163.99671459976324,,,,31.298811476647217,-2.0318245997632403,64.62944755305763,,,
216,2013-08-11,,124.72161476134036,,,,91.39127055055663,158.0519589721241,,,,39.45753823865965,6.127194027875902,72.78788244944339,,,
217,2013-08-18,,124.8936200694476,,,,91.56344958510115,158.22379055379406,,,,38.4551809305524,5.125010446205948,71.78535141489886,,,
